Stno,Chip,Database_Id,Surname,First name,YB,S,Block,nc,Start,Finish,Time,Classifier,Club no.,Cl.name,City,Nat,Cl. no.,Short,Long,Num1,Num2,Num3,Text1,Text2,Text3,Adr. name,Street,Line2,Zip,City,Phone,Fax,EMail,Id/Club,Rented,Start fee,Paid,Course no.,Course,km,m,Course controls,Pl,Start punch,Finish punch,Control1,Punch1,Control2,Punch2,Control3,Punch3,Control4,Punch4,Control5,Punch5,Control6,Punch6,Control7,Punch7,Control8,Punch8,Control9,Punch9,Control10,Punch10,(may be more) ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,999999,,Surname1,Forename1,30,M,,0,18:59:59,20:00:57,01:00:58,0,,,,,1,Course1,Course1,510,510,0,MapRun6 6.4.2 MapRunG v1.2.0 on vivoactive3-ios-en,17/07/2021,,,,,xxx xxx,,,,email@email.com,,0,0,X,1,Course1,11.71,,27,,18:59:59,20:00:57,99,01:00,4,03:44,5,05:00,1,06:52,7,10:52,99,13:48,6,20:30,7,22:30,8,23:00,9,1:38:00,10,2:08:00,11,28:48:00,1,29:26:00,2,32:30:00,3,33:58:00,4,38:25:00,8,40:54:00,2,43:28:00,1,45:01:00,7,47:34:00,18,49:18:00,17,51:29:00,8,53:30:00,10,55:16:00,9,55:43:00,14,57:37:00,13,58:16:00
3,999999,,Surname2,Forename2,31,M,,0,18:42:14,19:59:23,01:17:09,0,,,,,1,Course1,Course1,110,110,,MapRunF 5.0.9-ios,21/07/2021,,,,,xxx xxx,,,,email@email.com,,0,0,X,1,Course1,7.61,,27,,18:42:14,19:59:23,3,10:58,5,16:53,15,20:00,99,24:26:00,4,52:03:00,16,53:59:00,5 (Extra),39:20:00,3 (Extra),47:37:00,15 (Extra),54:34:00,99 (Extra),01:01:59,3 (Extra),01:07:36,5 (Extra),01:10:03,3 (Extra),01:12:48,4 (Extra),01:13:21,16 (Extra),01:15:25,,,,,,,,,,,,,,,,,,,,,,,,
4,999999,,Surname3,Forename3,32,M,,0,18:57:29,20:27:59,01:30:29,0,,,,,1,Course1,Course1,220,190,0,MapRun6 6.4.2-android-en,21/07/2021,,,,,xxx xxx,,,,email@email.com,,0,0,X,1,Course1,7.68,,27,,18:57:29,20:27:59,9,33:56:00,11,37:41:00,50,16:20:00,99,44:21:00,7,51:46:00,8,53:06:00,2,01:01:43,51,01:03:08,15,01:16:40,16,01:17:07,2 (Extra),01:05:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,999999,,Surname4,Forename4,33,M,,0,19:11:01,20:41:16,01:30:15,0,,,,,1,Course1,Course1,190,160,0,MapRun6 6.4.2-android-en,21/07/2021,,,,,xxx xxx,,,,email@email.com,,0,0,X,1,Course1,9.01,,27,,19:11:01,20:41:16,17,15:32,7,17:55,13,22:10,50,1:08:00,9,13:36:00,99,18:20:00,10,9:47:00,11,01:23:43,12,01:25:49,13 (Extra),01:00:03,9 (Extra),01:19:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,999999,,Surname5,Forename5,34,M,,0,19:10:58,20:42:16,01:31:17,0,,,,,1,Course1,Course1,120,60,0,MapRun6 6.4.2-android-en,21/07/2021,,,,,xxx xxx,,,,email@email.com,,0,0,X,1,Course1,9.44,,27,,19:10:58,20:42:16,99,09:06,5,36:39:00,15,40:20:00,1,57:12:00,17,01:02:10,7,01:06:45,8,01:07:56,18,01:19:42,2,01:24:10,99 (Extra),42:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,999999,,Surname6,Forename6,35,M,,0,18:57:30,20:28:05,01:30:34,0,,,,,1,Course1,Course1,220,190,,MapRunF 5.0.9-ios,21/07/2021,,,,,xxx xxx,,,,email@email.com,,0,0,X,1,Course1,9.65,,27,,18:57:30,20:28:05,17,19:02,1,23:39,7,25:57:00,99,43:35:00,3,55:41:00,6,58:36:00,4,01:02:36,12,01:08:38,11,01:09:25,52,01:18:57,53,01:25:13,3 (Extra),01:01:41,99 (Extra),01:30:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,999999,,Surname7,Forename7,36,M,,0,19:22:04,20:45:35,01:23:30,0,,,,,1,Course1,Course1,260,260,0,MapRun6 6.4.2-ios-en,21/07/2021,,,,,xxx xxx,,,,email@email.com,,0,0,X,1,Course1,12.18,,27,,19:22:04,20:45:35,13,08:53,50,11:41,5,18:02,15,21:49,99,24:09:00,9,30:20:00,10,30:52:00,7,37:42:00,8,38:41:00,16,43:35:00,3,48:42:00,4,49:41:00,6,01:02:54,54,01:07:13,19,01:14:23,20,01:15:16,13 (Extra),32:54:00,15 (Extra),44:31:00,16 (Extra),51:34:00,15 (Extra),52:26:00,5 (Extra),01:02:16,6 (Extra),01:18:47,,,,,,,,,,
9,999999,,Surname8,Forename8,37,M,,0,19:22:06,20:45:41,01:23:35,0,,,,,1,Course1,Course1,320,320,0,MapRun6 6.4.2 MapRunG v1.2.0 on vivoactive3-ios-en,21/07/2021,,,,,xxx xxx,,,,email@email.com,,0,0,X,1,Course1,17.44,,27,,19:22:06,20:45:41,7,11:13,1,13:08,2,13:48,51,15:24,99,24:05:00,52,31:34:00,53,37:31:00,11,01:01:38,12,01:02:49,55,01:12:12,14,01:19:23,2 (Extra),17:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,999999,,Surname9,Forename9,38,M,,0,18:42:22,19:59:23,01:17:01,0,,,,,1,Course1,Course1,160,160,0,MapRun6 6.4.2 MapRunG v1.2.0 on fr235-ios-en,21/07/2021,,,,,xxx xxx,,,,email@email.com,,0,0,X,1,Course1,7.07,,27,,18:42:22,19:59:23,9,14:48,11,21:38,99,24:20:00,8,43:31:00,18,45:36:00,2,49:43:00,7,52:24:00,50,58:13:00,99 (Extra),01:01:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,999999,,Surname10,Forename10,39,M,,0,18:42:10,19:59:23,01:17:13,0,,,,,1,Course1,Course1,160,160,0,MapRun6 6.4.2-android-en,21/07/2021,,,,,xxx xxx,,,,email@email.com,,0,0,X,1,Course1,7.2,,27,,18:42:10,19:59:23,9,15:02,11,21:40,99,24:30:00,8,43:42:00,18,45:47:00,2,49:58:00,7,52:36:00,50,58:25:00,99 (Extra),01:02:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
